Results of exponential fits on the Dehmelt relaxation data.

dataset 	 Relative intensity 	Inverse relaxation time 	 error
00_nofilter  	1.000000000000000	919.445671113782 	2.78024906311683
01_dreieck   	0.801289280899372	1029.57127877099 	3.52290213869717
02_1kringel  	0.508263003153757	804.817554826642 	2.17101577002198
03_D0,3      	0.385165657370997	729.314837895644 	2.12912322629964
04_-0,37     	0.420334419753482	787.453559962687 	2.52717132924982
05_dermittape	0.322005049483199	571.778026444076 	2.6985484038904
06_D0,6      	0.37433751408106	772.238377323185 	3.13064940258738
07_0,6       	0.311620288478938	713.007601568028 	2.89678614369126
08_D1,0      	0.158258095232372	506.018401072306 	2.84275184715535
09_-0,80     	0.15208279497915	507.513895461722 	4.03736622720968
10_-1,03     	0.087717576167935	405.148075085514 	6.60852038973296
11_D1,3      	0.097856607230737	414.055976764786 	4.83534840078248
12_1000      	0.070687422833787	421.062102523651 	8.9466459506671
13_1,6       	0.0766383609670815	398.568019155045 	5.66424661452006
14_D2,0      	0.0588175982702748	390.639016525282 	11.4809263076395
15_-1,24     	0.0506283808929494	287.880075937963 	15.4745067787105
16_066       	0.0595948527590196	330.093952098948 	11.9125367759577
17_D2,3      	0.0317739498216788	267.945968380945 	21.4111240158535
18_D2,6      	0.023715610347644	283.950843199569 	58.9522866089308
