Results of exponential fits on the Dehmelt relaxation data.

dataset 	 Relative intensity 	 error 			Inverse relaxation time 	 error
00_nofilter  	1.000000000000000	0.00761901868481309	2283.44676169723 	7.83228514271289	1.40067937438905	0.00788675134594813
01_dreieck   	0.801289280899372	0.00695657612413972	1988.8336130987 	6.77354209343793	1.10978494623656	0.00788675134594813
02_1kringel  	0.508263003153757	0.00552861179061013	1403.92911121063 	3.92717169255361	0.680821114369502	0.0063094010767585
03_D0,3      	0.385165657370997	0.00546843408083126	1187.87577107931 	3.45965171473566	0.500617790811339	0.0063094010767585
04_-0,37     	0.420334419753482	0.00547226124628742	1164.30327121074 	3.65479785530936	0.552101661779081	0.0063094010767585
06_D0,6      	0.322005049483199	0.00548855150658736	1005.28247091234 	5.31261539330231	0.408156402737048	0.0063094010767585
07_0,6       	0.37433751408106	0.00546942294142119	892.36154318461 	3.55049788873845	0.484766373411535	0.0063094010767585
08_D1,0      	0.311620288478938	0.00549516102925936	635.443484682172 	3.07355920713415	0.392954056695992	0.0063094010767585
09_-0,80     	0.158258095232372	0.00569774359242285	624.160921800015 	2.82843921154306	0.168445747800587	0.0063094010767585
10_-1,03     	0.15208279497915	0.00570985819707536	488.230527292201 	5.53740205689397	0.159405669620803	0.0063094010767585
11_D1,3      	0.087717576167935	0.00585312304224295	506.35544535447 	6.1225723592649	0.0651808406647117	0.0063094010767585
no laser	 0.0000000	0.00609521494785047	 - 	 - 	-0.063229716520039	0.0063094010767585
