#Intensities for set of diode currents
Current [mA] 	 Intensity [V] 	 Error [V]
00.0		-0.0369012707722384	0.000160627541614504
10.0		-0.0338514174070865	0.000204542056166674
20.0		-0.0339784946233525	0.000202878527894099
30.0		-0.0315347018631175	0.000218513191300332
40.0		-0.0224535679591217	0.000150906672544499
50.0		-0.0139491691307651	0.000204097485004008
52.5		0.0217204300223596	0.000132217864338034
55.0		0.174115347018573	0.000201539210229757
56.0		0.235738025415445	0.000182159120662585
57.0		0.29683284457478	0.000162640571062604
58.0		0.356412512218964	0.000171920995120964
59.0		0.412737047763854	0.000212688654991216
60.0		0.471231671414586	0.000219884379514665
61.0		0.527722385006859	0.000215320844990143
62.0		0.590322580495693	0.000221449932604122
63.0		0.641505376344086	0.00012688569427812
64.0		0.7027761485826	0.000157833785618866
65.0		0.757927663734115	0.000138976680555248
66.0		0.819638318670577	7.46757897918887e-005
67.0		0.872922776021357	0.000211476795429281
68.0		0.923118279569892	0.00016571838944194
69.0		0.976705767350929	0.000170895478925551
70.0		1.02956011717585	0.00022091884492955
71.0		1.09206256094558	0.000216378100806526
72.0		1.14093841642229	0.000101373833820256
73.0		1.18859237525279	0.000219367394249156
74.0		1.23227761475395	0.000215320844990145
75.0		1.26238514166809	0.000151757467415351
76.0		1.32032258064516	8.66116081449492e-005
77.0		1.34156402731976	0.000119545538451315
78.0		1.29780058651026	0.000139739302823534
79.0		1.32582600188812	0.000200948533498571
80.0		1.37011730194703	0.000221980696878435
81.0		1.32058651026393	0.000102659950688241
82.0		1.47907135874878	0.000104665102346001
83.0		1.54287390029325	0.000161182627206898
84.0		1.5848093840641	0.000193014386869384
85.0		1.63371456488812	0.000206240086681514
86.0		1.68761485813132	0.000214750778259236
87.0		1.68000977517107	2.58680911445396e-005
