Time in s	CH I in Volt	CH II in Volt	
0.E+0	1.88E-02	-4.80E-01	
1.E-7	1.88E-02	-4.80E-01	
2.E-7	1.88E-02	-4.80E-01	
3.E-7	1.88E-02	-4.80E-01	
4.E-7	1.88E-02	-4.80E-01	
5.E-7	1.88E-02	-4.80E-01	
6.E-7	1.88E-02	-4.80E-01	
7.E-7	1.88E-02	-4.80E-01	
8.E-7	1.88E-02	-4.80E-01	
9.E-7	1.88E-02	-4.80E-01	
1.E-6	1.88E-02	-4.80E-01	
1.1E-6	1.88E-02	-4.80E-01	
1.2E-6	1.88E-02	-4.80E-01	
1.3E-6	1.88E-02	-4.80E-01	
1.4E-6	1.88E-02	-4.80E-01	
1.5E-6	1.88E-02	-4.80E-01	
1.6E-6	1.88E-02	-4.80E-01	
1.7E-6	1.88E-02	-4.80E-01	
1.8E-6	1.88E-02	-4.80E-01	
1.9E-6	1.88E-02	-4.80E-01	
2.E-6	1.88E-02	-4.80E-01	
2.1E-6	1.88E-02	-4.80E-01	
2.2E-6	1.88E-02	-4.80E-01	
2.3E-6	1.88E-02	-4.80E-01	
2.4E-6	1.88E-02	-4.80E-01	
2.5E-6	1.88E-02	-4.80E-01	
2.6E-6	1.88E-02	-4.80E-01	
2.7E-6	1.88E-02	-4.80E-01	
2.8E-6	1.88E-02	-4.80E-01	
2.9E-6	1.88E-02	-4.80E-01	
3.E-6	1.88E-02	-4.80E-01	
3.1E-6	1.88E-02	-4.80E-01	
3.2E-6	1.88E-02	-4.80E-01	
3.3E-6	1.88E-02	-4.80E-01	
3.4E-6	1.88E-02	-4.80E-01	
3.5E-6	1.88E-02	-4.80E-01	
3.6E-6	1.88E-02	-4.80E-01	
3.7E-6	1.88E-02	-4.80E-01	
3.8E-6	1.88E-02	-4.80E-01	
3.9E-6	1.88E-02	-4.80E-01	
4.E-6	1.88E-02	-4.80E-01	
4.1E-6	1.88E-02	-4.80E-01	
4.2E-6	1.88E-02	-4.80E-01	
4.3E-6	1.88E-02	-4.80E-01	
4.4E-6	1.88E-02	-4.80E-01	
4.5E-6	1.88E-02	-4.80E-01	
4.6E-6	1.88E-02	-4.80E-01	
4.7E-6	1.88E-02	-4.80E-01	
4.8E-6	1.88E-02	-4.80E-01	
4.9E-6	1.88E-02	-4.80E-01	
5.E-6	1.88E-02	-4.80E-01	
5.1E-6	1.88E-02	-4.80E-01	
5.2E-6	1.88E-02	-4.80E-01	
5.3E-6	1.88E-02	-4.80E-01	
5.4E-6	1.88E-02	-4.80E-01	
5.5E-6	1.88E-02	-4.80E-01	
5.6E-6	1.88E-02	-4.80E-01	
5.7E-6	1.88E-02	-4.80E-01	
5.8E-6	1.88E-02	-4.80E-01	
5.9E-6	1.88E-02	-4.80E-01	
6.E-6	1.88E-02	-4.80E-01	
6.1E-6	1.88E-02	-4.80E-01	
6.2E-6	1.88E-02	-4.80E-01	
6.3E-6	1.88E-02	-4.80E-01	
6.4E-6	1.88E-02	-4.80E-01	
6.5E-6	1.88E-02	-4.80E-01	
6.6E-6	1.88E-02	-4.80E-01	
6.7E-6	1.88E-02	-4.80E-01	
6.8E-6	1.88E-02	-4.80E-01	
6.9E-6	1.88E-02	-4.80E-01	
7.E-6	1.88E-02	-4.80E-01	
7.1E-6	1.88E-02	-4.80E-01	
7.2E-6	1.88E-02	-4.80E-01	
7.3E-6	1.88E-02	-4.80E-01	
7.4E-6	1.88E-02	-4.80E-01	
7.5E-6	1.88E-02	-4.80E-01	
7.6E-6	1.88E-02	-4.80E-01	
7.7E-6	1.88E-02	-4.80E-01	
7.8E-6	1.88E-02	-4.80E-01	
7.9E-6	1.88E-02	-4.80E-01	
8.E-6	1.88E-02	-4.80E-01	
8.1E-6	1.88E-02	-4.80E-01	
8.2E-6	1.88E-02	-4.80E-01	
8.3E-6	1.88E-02	-4.80E-01	
